label	title	content
1	Norman Adrian Wiggins School of Law	 The Norman Adrian Wiggins School of Law (also known as Campbell Law School or Campbell University School of Law) is a private law school in Raleigh North Carolina. Founded in 1976 the law school is one of six graduate programs offered by Campbell University.
1	T. Romana College	 Government T. Romana College is a degree college affiliated to Mizoram University located in Republic Veng Aizawl Mizoram India. The college was established in 1992 as a private institution upgraded to grant-in-aid status in 2003 and provincialised in 2008. Since its inception it has been designed as a morning college to allow attendance of self - employed students.
1	University of Warmia and Mazury in Olsztyn	 The University of Warmia and Mazury in Olsztyn was established on September 1 1999 in accordance with the new Statute of Sejm signed by the President of the Republic of Poland Aleksander Kwaśniewski as well as the Minister of National Education Mirosław Handke in August of the same year. Its first rector became prof. dr. hab. Ryszard Górecki.
1	Webber Douglas Academy of Dramatic Art	 The Webber Douglas Academy of Dramatic Art formerly the Webber Douglas School of Singing and Dramatic Art was a drama school and originally a singing school in London. It was one of the leading drama schools in Britain and offered comprehensive training for those intending to pursue a professional performance career.
1	Southeast Whitfield High School	 Southeast Whitfield High School is a public high school in Dalton Georgia in the United States. It is part of Whitfield County School District. Colors are maroon and silver and the mascot is Raider. The school is in division AAA of the Georgia High School Association (GHSA).
1	Weaverham High School	 Weaverham High School is a large non-denominational co-educational comprehensive secondary school in Weaverham Cheshire England. It is a mixed-sex school containing 11–16 year olds and has 1068 pupils on roll as of the last OFSTED report.Weaverham High School is one of the partner high schools of Sir John Deane's College.
1	Chinmaya Vidyalaya Rourkela	 Chinmaya Vidyalaya (Hindi: चिन्मय विद्यालय रौर्केला) is located in Chennd Rourkela of Odisha India. The school was established in 1992 with the contribution of Central Chinmaya Mission Trust Rourkela. The school is affiliated to ICSE pattern of education New Delhi.
1	École nationale vétérinaire d'Alfort	 The National Veterinary School of Alfort (French: École Nationale Vétérinaire d'Alfort) is a school of veterinary medicine located at 7 avenue du Général de Gaulle Maisons-Alfort Val-de-Marne Île-de-France France. It is operated under the French Ministry of Agriculture.The school was established in 1765 by Claude Bourgelat and moved to its current location in 1766.Member of the Université Paris-Est.Today the school contains about 700 students 75 lecturers and 45 researchers.
1	Giles County High School	 Giles County High School's nickname in athletics is the Bobcats; the school mascot is a bobcat. The school is considered a basketball school[citation needed] as it has won 2 girls' state championships with numerous state tournament appearances.[citation needed] The boys' team has had its share of success winning their first state championship in 2003 under the guidance of head coach Billy Holt.State scores are slightly below average. English 1-4 is offered with Honors.
1	Technological Educational Institute of Piraeus	 The Technological Educational Institute of Piraeus (Greek: Τεχνολογικό Εκπαιδευτικό Ίδρυμα (Τ.Ε.Ι.) Πειραιά) was established by a special law in 1976 from the merger of the Anastasiadis School founded in 1947 and the Sivitanidios School founded in 1957. The institution provides a high level of technological education combined with applied research in selected areas.
1	ARMM Regional Science High School	 ARMM Regional Science High School (Filipino: Mataas na Paaralan ng Agham Panrehiyon ng ARMM) is a public science high school supervised by the Department of Education. The school is the former Parang National High School - Landasan Campus - Amir Bara Lidasan National High School. It became the Regional Science High School for Autonomous Region in Muslim Mindanao in 1996.
1	Birla Institute of Technology and Science Pilani – Hyderabad	 Birla Institute of Technology & Science Pilani - Hyderabad Campus (shortened to BITS Pilani Hyderabad Campus or BPHC) is one of the premier technical and science institutes for higher education in India located at Hyderabad Andhra Pradesh India. One of the 4 campuses of the university BITS Pilani it was started in 2008 with the first batch graduating in 2012.
1	Pondicherry Institute of Medical Sciences	 The Pondicherry Institute of Medical Sciences is a multi-speciality hospital and teaching institute at Kalapet in the Union Territory of Puducherry India. The college has been approved for full recognition by MCI for MBBS Degree granted by the Pondicherry University. Spread across 32 acres. Faculties have been drawn from all over India.PIMS has six Health Centre functioning now actively covering both urban and rural population in and around Puducherry.
1	Southland College Preparatory Charter High School	 The Southland College Preparatory Charter High School (SCPHS; also known as Southland College Prep Southland College Prep High School or simply Southland) is a college-preparatory charter high school located at 4601 Sauk Trail Richton Park Illinois.
1	Narnarayan Shastri Institute of Technology	 Narnarayan Shastri Institute of Technology (NSIT) is an engineering college in the town of Jetalpur very near to the city of Ahmedabad Gujarat India. The academic program of NSIT is approved by the All India Council of Technical Education (AICTE) and is affiliated with Gujarat Technological University (GTU).
1	University of Colorado	 The University of Colorado system is a system of public universities in Colorado consisting of four campuses: University of Colorado Boulder University of Colorado Colorado Springs University of Colorado Denver in downtown Denver and at the Anschutz Medical Campus in Aurora.
10	Nepenthes densiflora	 Nepenthes densiflora (/nɨˈpɛnθiːz ˌdɛnsɨˈflɔərə/; from Latin: densus = dense florus = flower) is a tropical pitcher plant endemic to Sumatra where it grows at an altitude of between 1700 and 3200 m above sea level.No forms or varieties of N. densiflora have been described.
10	Albizia obbiadensis	 Albizia obbiadensis is a species of legume in the Fabaceae family.It is found only in Somalia.
10	Potentilla delphinensis	 Potentilla delphinensis is a herbaceous perennial species of cinquefoil belonging to the Rosaceae family. It is endemic to France where it is limited to the southern French Alps (Savoie et Dauphiné: Bauges; Isère; Hautes-Alpes Col du Lautaret).
10	Stillingia linearifolia	 Stillingia linearifolia is a species of flowering plant in the euphorb family known by the common name queens-root. It is native to the southwestern United States and northern Mexico where it occurs in several types of dry and disturbed habitat in deserts mountains and foothills. It is a perennial herb producing a clump of slender branching erect stems approaching 70 centimeters in height.
10	Solidago speciosa	 Solidago speciosa or Showy Goldenrod is a flowering plant in the United States.
10	Bulbophyllum tahanense	 Bulbophyllum tahanense is a species of orchid in the genus Bulbophyllum.
10	Melpomene (plant)	 Melpomene is a genus of ferns in the Polypodiaceae family. Species include Melpomene brevipes among others.
10	Halenia weddelliana	 Halenia weddelliana (Cacho de Venado Deer's Antlers) is a species of plant in the Gentianaceae family. Its natural habitat is subtropical or tropical high-altitude grassland.
10	Xanthostemon chrysanthus	 Xanthostemon chrysanthus commonly named Golden Penda is a species of trees found growing only (endemic) in north eastern Queensland of the Myrtaceae family.It is a popular garden plant with showy yellow blooms.
10	Carex angustata	 Carex angustata is a species of sedge known by the common name widefruit sedge. It is native to the western United States from Washington and Idaho to California where it grows in wet meadows and on streambanks.
10	Brimeura duvigneaudii	 Brimeura duvigneaudii is a species of plant that is endemic to Spain. Its natural habitats are Mediterranean matorral shrubland and above rocky shores.
10	Landal noir	 Landal noir is a red hybrid grape variety that was created during a series of trials between 1929 and 1942 by French grape breeder Pierre Landot at his Conzieu nursery in the Ain department of eastern France. The grape is a crossing of two Seibel grapes Plantet and Seibel 8216. While authorized for use in several French wine growing region the grape is officially not recommended for use in any quality wine production in France with only 49 hectares (120 acres) of the variety reported in 2008.
10	Eysenhardtia	 Eysenhardtia is a genus of flowering plants in the legume family Fabaceae. It belongs to the subfamily Faboideae. Members of the genus are commonly known as Kidneywoods.
10	Cytisus proliferus	 Cytisus proliferus tagasaste or tree lucerne is a small spreading evergreen tree that grows 3-4m high. It is a member of the Fabaceae (pea) family and is indigenous to the dry volcanic slopes of the Canary Islands but it is now grown in Australia New Zealand and many other parts of the world as fodder crop.
10	Reitzia	 Reitzia is a genus of grass in the Poaceae family.
10	Protea curvata	 Protea curvata (Serpentine sugarbush Afrikaans: Serpentynsuikerbos) is a species of plant in the Proteaceae family. It is endemic to South Africa and a protected tree there.
0	D. C. Heath and Company	 D.C. Heath and Company was an American publishing company located at 125 Spring Street in Lexington Massachusetts specializing in textbooks.
0	Quattro GmbH	 quattro GmbH is a wholly owned private subsidiary of the German automobile manufacturer AUDI AG part of the Volkswagen Group.Founded in October 1983 it primarily specialises in producing high performance Audi cars and components along with purchaser specified customisations.
0	Grupo Folha	 Grupo Folha is the third largest Brazilian media conglomerate after Organizações Globo and Grupo Abril. It was founded by Octavio Frias de Oliveira (1912–2007) and led by his son Luiz Frias since 1992.The group publishes Folha de S.Paulo the largest circulation paper in the country which since 1986 keeps the leadership among quality general-interest newspapers in Brazil. In the last decade the group nearly tripled its revenue getting to R$2.7 billion in 2010.
0	Cohort Studios	 Cohort Studios is a games development and interactive entertainment studio.It was based in Dundee but closed its office there in May 2011.Cohort still continues to trade and is owned by Darran Thomas who took full control of the company in March 2012.[citation needed]The company is currently working on undisclosed projects and is now based out of Cardiff in Wales.[citation needed]Formed in 2006 by Lol Scragg Darran Thomas and Bruce McNeish Cohort’s first project involved being contracted by Sony Computer Entertainment Europe to assist on MotorStorm for PlayStation 3. 
0	4th & B'way Records	 4th & B'way Records (pronounced /fɔrθ ænd ˈbrɔːdweɪ/ and spelled out completely as Fourth and Broadway Records in the UK) was a US-based subsidiary of Island Records that specialized in street-oriented music such as hip-hop. Established in 1984 it was the flagship label of the Island Trading Company the independent-distribution parent company of Island's other record labels that operated in the US.
0	Packers Plus Energy Services	 Packers Plus Energy Services Inc. is a privately held Calgary-based oil and gas service company. The company is the innovator of StackFRAC an open hole multi-stage ball drop completion system. Packers Plus was founded in 2000 by Dan Themig Ken Paltzat and Peter Krabben. Dan Themig is the president and CEO of the company.
0	Geeks.com	 Geeks.com also known as ComputerGeeks.com was an Internet discount retailer of computer hardware peripherals and consumer electronics to businesses resellers and consumers. Geeks.com focused on purchasing manufacturers' excess inventories closeouts and out-of-date products.
0	Hampton Roads Publishing Company	 Hampton Roads Publishing Company. founded in 1989 by Frank DeMarco and Bob Friedman is a publisher of self-help books and books on Complementary and Alternative Medicine Visionary Fiction New Thought New Science Nagualism and Psychic Realms.[citation needed]Hampton Roads sold Walsch's Conversations with God: Book I to Susan J. Petersen who published it for Putnam.
0	CeramTec	 CeramTec manufactures and develops advanced ceramic components. The products are used in many different applications especially in medical technologies automotive manufacturing electronics equipment and machine construction defense technologies and chemical industries. The company headquarters are in Plochingen Baden-Württemberg Germany.The company is present around the globe and has production sites and sales offices in the world’s most important markets.
0	CSG International	 CSG Systems International Inc. also known as CSG International is an American multinational corporation headquartered in the City of Englewood United States. Neal C. Hansen and Dr. George Haddix founded the company in 1994 as CSG Holdings Inc. and took it public on the NASDAQ (CSGS) in 1996. CSG maintains both local and international offices in North America Asia Pacific Europe Latin America the Middle East the Caribbean and Africa.
0	FinBlade	 FinBlade is a British mobile game and mobile app developer. FinBlade was founded by John Chasey Fergus McNeill Steve Longhurst and Barry Simpson in August 2007. Many of the FinBlade team previously worked at mobile game developer IOMO.
0	Future Farmer Records	 Future Farmer Records is an independent record label based in San Francisco California.Inspired by skateboarding culture Future Farmer was founded in 1996 by San Joaquin Valley natives Jeff Klindt and Dennis Mitchell. Former label member M. Ward remains the label's biggest commercial success to date.
0	Big Ape Productions	 Big Ape Productions was an American video game development studio whose work primarily consisted of licensed games.
0	Travelodge UK	 Travelodge Hotels Limited is a private company operating in the hotels and hospitality industry throughout the United Kingdom. Branded simply as Travelodge it is the second largest in the budget hotel sector (behind Premier Inn) and third biggest hotel chain in the UK by number of bedrooms (31600 at the end of 2010).Travelodge Hotels Ltd is under separate ownership from the Travelodge chain of the United States.
0	Superior Industries	 Superior Industries is an American manufacturing company. The company's eight divisions design manufacture market and sell bulk material handling conveyors conveyor components fuel tanks fuel trucks fuel trailers petroleum equipment and precast concrete products.The company traces its origins back to 1917 when Henry Schmidgall began manufacturing concrete products in Hancock Minnesota. Starting in 2008 Superior started acquiring several new companies.
0	Benziger Brothers	 Benziger Brothers was a Roman Catholic book publishing house founded by Joseph Charles Benziger in 1792 in Einsiedeln Switzerland.
5	Armstrong Whitworth Armadillo	 The Armstrong Whitworth Armadillo was a British single-seat biplane fighter aircraft built by Armstrong Whitworth.
5	HTZC UAVs	 HTZC UAVs are Chinese UAVs developed by Shenyang Aviation China Survey Co. Ltd. (HTZC 沈阳航天中测有限公司). Although HTZC UAVs are capable of performing other missions such as reconnaissance only the drone versions have entered service with Chinese military according to the Chinese news report.
5	USS Undine (1863)	 The first USS Undine was a tinclad steamer in the United States Navy in 1864 during the American Civil War. She was captured on 30 October and put in service with the Confederates but was not renamed before being burned 5 days later to prevent re-capture.Undine was built in 1863 at Cincinnati Ohio as Ben Gaylord. She was purchased by the Navy at Cincinnati on 7 March 1864 and commissioned there in April.
5	HMS Sikh (F82)	 HMS Sikh (F82) was a Tribal-class destroyer of the 4th Destroyer Flotilla of the Royal Navy. She was built by Alexander Stephen and Sons in Glasgow and commissioned in 1938. In 1941 while under the command of Commander Stokes she took part in the sinking of the German battleship Bismarck in 1941.
5	Ford Fusion (Europe)	 The European Ford Fusion was a vertically stretched version of the Ford Fiesta supermini produced by Ford of Europe from 2002 to 2012.The design includes elements of both estates and multi-purpose vehicles.
