1,in theory how could u apply e=mc^2 to a machin that produces energy? like what sort of actions and reactions would need to take place for somthing like this to work. Cf: atomic bombs and nuclear power plants. They use the conversion of a tiny amount of mass to lots and lots of energy.
1,I dont know the answer to this word problem....? Six roles are being cast at a school play. Fifteen students show up for audtions. The question i need to know is how many different casts are possible? there are 6 place for 15 student so:-\n\n15*14*13*12*11*10=answer\n\nor simply use combination since the arrangement is not important\n\n15C6
1,Where may I find data of unemployment rates in the US? sites would be aweomse. www.bls.gov that is the Bureau Of Labor Statistics Website
1,"hey ppl.i have a doubt in physics? we all know the formulae for gravity at an altitude...g(1-2h/r),now if the height is 3200 kms,then gravity at that point becomes 0(as radius of earth=6400kms)..,,..but this is nt possible practially ...gravity never becomes 0 at any height...so,is the formulae wrong? Yes it is wrong.  It might be a good approximation for lower altitudes, but is not truly correct.  In the same way, Newton was wrong with his equations, but they still make good approximations over reasonable ranges of values."
1,"how can i learn about calculus and advanced mathematics step by step ? Recomendations. however i have some algebra and calculus How about the ""For Dummies series?""  The books are actually pretty helpful and they do take great lengths to explain things in a precise manner that is easy to understand.  I have used this series to teach myself certain programming languages before moving on the more in-depth books."
1,"""why do water pipes burst in very cold water""? it must be 50 words or more Write your own essay...but water freezes when it is cold and becomes ice which expands causing the pipes to burst, that's why they need lagging/insulating to prevent this happening."
1,"How to produce hydrogen from seaweed? PROCESS If you ferment the biomass it will make methane. The remove the hydrogen from the methane? If you meant seawater, electrolysis will give you hydrogen and oxygen. A lot was manufactored in Norway since they had hydroelectricity to use."
1,"simultaneous equations? if, \nax+by= c, \nax+by=c, \n\ncan a or b ever be 0 ?\nin other words, can you ever have a 0 number of variables? Of course you can... if a = 0, you have an equation that would simplify to:\n\nby = c\ny = c/b  (and since c and b are constants)\ny = d\n\nwhich would represent a horizontal line crossing the y axis at d\n\n\nSame with b, only if b = 0 you would have a horizontal line"
1,"who provides courses on signals analysis? including cw and various modulations? I'd like to learn how to analyze signal waveforms, including cw waveforms and pulse waveforms with different types of RF and phase modulations. If I understand your question correctly, this is a standard 3rd year course in most Canadian Universities offering a Bachelor of Applied Science in Electrical Engineering."
1,"I want some information about frogs. Can anyone help? I know you get blue frogs and poisonous frogs, etc. I want to know if ALL blue frogs are poisonous and if a frog has spots, does that mean it is poisonous? ""Learn all sorts of true, weird and wacky facts about frogs and toads!""\nI've included the link for Poisonous frogs"
