label	title	content
6	McConnell's Windmill	 McConnell's Windmill also known as Morristown Windmill and Stone Windmill is a stone windmill in Morristown New York. It is the only windmill on the American side of the St. Lawrence Valley.It was listed on the U.S. National Register of Historic Places in 1982.
6	Church of Our Lady and St Peter Leatherhead	 The Church of Our Lady and St Peter is a Roman Catholic church in Leatherhead Surrey. It was founded as a local chapel during the First World War and later became a Parish church. It is situated between Copthorne Road and Garlands Road on the junction with St John's Avenue in Leatherhead. It is the only Catholic church in Leatherhead and is served by the Diocese of Arundel and Brighton.
6	Dr. Adam Mosgrove House	 The Dr. Adam Mosgrove House is a historic house in Urbana Ohio United States. Located along Miami Street (U.S. Route 36) on the city's western side it was built in 1833 as the home of physician Adam Mosgrove one of Urbana's first doctors.
6	Canterbury Society of Arts Gallery	 The Canterbury Society of Arts Gallery was an art gallery in the central city of Christchurch New Zealand. It consisted of two buildings built in the late 1800s. The buildings were demolished in 2012 due to damage from the Canterbury earthquakes.Benjamin Mountfort designed the first building in 1890 costing a total of £1229. It consisted of a large gallery and some smaller rooms one that was meant for use as a library.A second building designed by Richard Harman was completed in 1894.
6	Al-Kahf Castle	 Al-Kahf Castle or Castle of the Cave (Arabic: قلعة الكهف‎) is a medieval Ismaili castle located around 30 kilometres (19 mi) southeast of Margat in the al-Ansariyah mountains in northwest Syria.
6	Harriman Historic District	 The Harriman Historic District is located in the northern section of Bristol Pennsylvania United States. It is a 17-acre (6.9 ha) residential area with 109 buildings mostly houses and the local secondary school.Houses began being built in the area early in the 20th century. Growth exploded when the U.S.
6	Arthur H. Compton House	 The Arthur H. Compton House located at 5637 South Woodlawn Avenue in Chicago Illinois was the residence of professor Arthur Compton from the late 1920s until 1945. Arthur Compton was a physicist who discovered the Compton Effect proving that light has both a particle and a wave aspect. Compton received the Nobel Prize in Physics in 1927 for this discovery.
6	Daniel Stevens House	 The Daniel Stevens House is a historic Second Empire house at 7 Sycamore Street in Worcester Massachusetts.It was built in 1865 and added to the National Register of Historic Places in 1980.
6	Jackson Hole American Legion Post No. 43	 The Jackson Hole American Legion Post No. 43 is a log building in Jackson Wyoming home to the local post of the American Legion. The post was built in 1928-29 and functioned as a community center. During its period of significance from 1929 to 1953 the post was instrumental in the shift of economic and political interests in Jackson Hole from a rural emphasis to urban interests.
6	Uwchlan Meetinghouse	 Uwchlan Meetinghouse is a historic Quaker meeting house located on North Village Avenue (Pennsylvania Route 113) at Lionville in Uwchlan Township Chester County Pennsylvania. It was built in 1756 and is a 2 1/2-story rubble fieldstone structure with a gable roof. During the winter of 1777-1778 it was used as a hospital by the Continental Army at Valley Forge and staffed by Dr. Bodo Otto (1711–1787).It was added to the National Register of Historic Places in 1973.
