label	title	content
2	Brooke Valentine	 Kanesha Nichole Brookes (born October 5 1984) better known by her stage name Brooke Valentine is an American singer actress and model. Her single Girlfight peaked on U.S. music charts in 2005 paving the way for her debut album Chain Letter released via Subliminal Entertainment imprint on Virgin Records and went on to sell more than 290 000 units worldwide.
2	Carlos Cavazo	 Carlos Cavazo is a Mexican-born American guitarist best known as the guitarist for Quiet Riot during their commercial peak. Born July 8 1957 Cavazo is originally from Mexico City where his first band—of which his brother Antonio Cavazo was also a member—was called Speed of Light.
2	Olena Pchilka	 Olha Petrivna Kosach (29 June 1849 – 4 October 1930) better known by her pen name Olena Pchilka was a Ukrainian publisher writer ethnographer interpreter civil activist. Sister of Mykhailo Drahomanov. Mother of Lesya Ukrainka
2	Zhang Xiaotao	 Zhang Xiaotao was born in 1970 in Hechuan Chongqing China. He is a painter based in Beijing and Chengdu.He graduated from the Oil Painting Department of Sichuan Academy of Fine Arts [1] in 1996.He then became a teacher in the Southwest Jiaotong University Chengdu and this lasted from 1996-2009. In 2010 Xiaotao taught in the New Media Department of the Sichuan Fine Arts Institute.
2	Francis X. King	 Francis X. King (10 January 1934 – 8 November 1994) was a British occult writer and editor who wrote about tarot divination witchcraft magic sex magic tantra and holistic medicine. He was a member of the Society of the Inner Light an offshoot of the Alpha et Omega which in turn was an offshoot of the Hermetic Order of the Golden Dawn.
2	Alexis Cole	 Called one of the great voices of today Alexis Cole has been compared to classic jazz singers such as Sarah Vaughan and Anita O'Day. Her luxurious voice and innovative interpretations make her an instant favorite with audiences of all ages. Cole is the recipient of a Swing Journal Gold Disk award and has won the NY Jazzmobile and Montreux Jazz Festival vocal competitions. She records for Motéma Music NY. and Venus Records Japan.
2	Farhad Darya	 Farhad Darya Nashir (Pashto: فرهاد دریا‎; Persian: فرهاد دریا‎; born September 22 1962) is an Afghan singer composer and music producer. He serves as the United Nations Development Program (UNDP) National Goodwill Ambassador for Afghanistan and is involved in charitable organizations such as Music Village and others. He has earned affection for not only his music but also patriotism. He has a fan base that stretches from his native Afghanistan to parts of Central Asia Tajikistan and Iran.
2	Tony LaGundia	 Tony LaGundia is an American artist born in Grosse Pointe Michigan in 1971. When he was 28 years old he was injured in a ski accident shattering his right arm completely. He lost all function in the arm and was forced to find a career to accommodate his handicap. After working in bureaucratic jobs he began making art. LaGundia is credited with inventing leaky-edge abstraction whereby undiluted raw color shoots from within the edges of the rectangle rather than going beyond it.
2	Ronald Isley	 Ronald Isley (/ˈaɪzliː/; born May 21 1941) is an American recording artist songwriter record producer and occasional actor. Isley is better known as the lead singer and founding member of the family music group the Isley Brothers.
2	DJ Homicide	 Craig Anthony Bullock also known as DJ Homicide (December 17 1970) is the former DJ for rock band Sugar Ray.
2	Antonio Badile	 Antonio Badile (c. 1518 – 1560) was an Italian painter from Verona.
2	Juice Leskinen	 Juhani Juice Leskinen (former Pauli Matti Juhani Juice Leskinen) better known as Juice Leskinen (pronounced [ˈjuisɛ]  not like the English word juice; born 19 February 1950 in Juankoski – died 24 November 2006 in Tampere) was one of the most prominent Finnish singer-songwriters of the late 20th century. From the early 1970s onward he released nearly 30 full-length albums as well as writing song lyrics for dozens of Finnish artists.
2	Carlo Wolff	 Carlo Wolff is a prolific freelance journalist who writes for publications including The Boston Globe Chicago Sun-Times Pittsburgh Post-Gazette The Plain Dealer (Cleveland Ohio) and The Christian Science Monitor. He specializes in music criticism book reviews and feature articles about popular culture travel and business. He also specializes in reviewing graphic novels for the Globe.
2	Nicolas Fargues	 Nicolas Fargues (born 8 March 1972) is a French novelist.From 1998 to 2002 he had various jobs in journalism libraries and publishing. He published two novels Le Tour du propriétaire (2000) and Demain si vous le voulez bien (2001) before achieving his first major public and critical success with One Man Show published in 2002. This book is based on his own experiences in the media world where he encountered celebrities whom he found smaller and more tired than on the screen.
2	Gregg Foreman	 Gregg Foreman is an American musician and DJ born in Philadelphia Pennsylvania. Foreman gained recognition originally as the front man of The Delta 72 a band that channeled post punk rock sensibilities with 1960s British Invasion R&B to create a frenetic and honest style. His live gigs with The Delta 72 have been characterized by his onstage energetic performances and James Brown-like moves.
2	Jonnie Barnett	 Jonathan Barnett Kaye (1946 in Sumter South Carolina – August 18 2002) known professionally as Jonnie Barnett was an American musician. In the 1970s he performed as an opening act for several acts such as Tom Waits Cheech and Chong and Frank Zappa. He also made appearances in the 1975 film Nashville and in Cheech and Chong's Next Movie. One of Barnett's compositions One Foot in the Blues was recorded by Johnny Adams and received a Blues Song of the Year award from 1997 W. C.
11	Beatles for Sale	 Beatles for Sale is the fourth studio album by English rock band the Beatles released on 4 December 1964 and produced by George Martin for Parlophone. The album marked a minor turning point in the evolution of the Lennon–McCartney partnership John Lennon particularly now showing interest in composing songs of a more autobiographical nature.
11	Fistful of Metal	 Fistful of Metal is the debut album by American thrash metal band Anthrax released in January 1984 by Megaforce Records in the US and Music for Nations internationally. It includes a cover of Alice Cooper's I'm Eighteen. This is the band's only album to feature Neil Turbin on vocals and Dan Lilker on bass.
11	Things Here Are Different	 Things Here Are Different is the first album by American singer/songwriter Jill Sobule released in 1990. (see 1990 in music). It contained the singles Living Color and Too Cool to Fall in Love.
11	I Walk (album)	 I Walk is the 14th full-length album by German singer Herbert Grönemeyer released in October 2012. All songs on this album are sung in English. Ten of these songs are English reworks of previous works and three are newly written songs for this album.
11	29 Golden Bullets	 29 Golden Bullets is the third compilation by the German rock band Bonfire. It was released in 2001 by BMG International and features a bonus song that was cut from the Fireworks album called Take Me by the Hand. The album is a double CD that features the band's most recognized songs; some were remixed and others edited for radio airplay and all have been digitally remastered.
11	A Sure Thing	 A Sure Thing is an album by American trumpeter Blue Mitchell with orchestra recorded in late 1962 and released on the Riverside label.
11	Wichita Lineman (album)	 Wichita Lineman is the twelfth album by American singer-guitarist Glen Campbell released in 1968 by Capitol Records.
11	Antigone (album)	 Antigone is the third full-length album of the German metal band Heaven Shall Burn. The title was inspired by the female character of the play Antigone by Sophocles. The play is about a passionate young woman that does what she knows is right even though it is against the law. She makes sure that all of the town's people know what she did and she is punished by the king. The intro and the two outros were composed and recorded by Icelandic composer Ólafur Arnalds.
11	Gypsyhook EP	 Gypsyhook is the first solo release by Sonny Moore who would later use the alias Skrillex for future releases. It was recorded summer 2008 and was released on April 7 2009. On December 12 2008 Moore posted the track listing on his Myspace. The EP features three songs two of which he has posted demos for and four remixes. 海水 (Ocean Water) is a Japanese version of Mora.
11	Los K-Becillas	 Los K-Becillas (The Bosses in English) is a 2005 album by Master Joe & O.G. Black. Its the last album that Master Joe and OG Black work on because they broke up. It is the most successful album to date and peaked at 17 in Top Latin Albums.
11	Universal Syncopations	 Universal Syncopations is an album by Czech bassist Miroslav Vitous recorded in 2003 and released on the ECM label.
11	Playboys (The Rasmus album)	 For the band's song with the same name see Playboys (song).Playboys is the second studio album by the Finnish rock band The Rasmus (known as just Rasmus back then) which was released on August 29 1997 on Warner Music Finland.It went Gold in Finland and the single Blue also went Gold when it was released in May the same year. The album was not as popular outside their homeland Finland.Besides the band there were many additional musicians (see below) that appeared on Playboys.
11	Three Chord Opera	 Three Chord Opera is the twenty-fifth studio album by Neil Diamond. It was released by Columbia Records in 2001 and reached number 15 on the Billboard 200 chart. One song from the album You're the Best Part of Me reached number 28 on the Billboard Adult Contempary chart.
11	Season's Greetings from moe.	 Season's Greetings from moe. is a Christmas-themed album by the American jam band moe.When explaining the album on the band's official website moe. member Chuck Garvey wrote the following:
11	Past Present & Future	 Past Present & Future is a 2003 retrospective collection of the music of Rob Zombie. It includes selections of his work with White Zombie and his solo career as well as two previously unreleased tracks. It won a Metal Edge Readers' Choice Award for Compilation Album of the Year.The explicit version includes a bonus DVD with ten of Rob Zombie's/White Zombie's music videos; all are edited versions.
11	Automatic (Cognito album)	 Automatic is the debut studio album of American rapper Cognito released April 20 2010 with Strange Music. Since release the album has sold 1290 copies.[citation needed]
12	Popeye Meets the Man Who Hated Laughter	 Popeye Meets the Man Who Hated Laughter also known as The Man Who Hated Laughter is a 1972 American animated one-hour television movie that was part of The ABC Saturday Superstar Movie. This film is notable for uniting the characters from almost every newspaper comic strip then owned by King Features Syndicate in one story.
12	My Apocalypse (film)	 My Apocalypse (originally titled Quality Time) is a 2008 independent film starring Corin Nemec Bruce Weitz Nancy Allen John de Lancie Gail Strickland Meredith Salenger and Jesse Harper.Directed and produced by Chris LaMont the screenplay was written by LaMont Craig Belanger and Jay Holben.Although My Apocalypse was filmed in 1997 it was not released until 2008 which was due to the amount of funding that LaMont had available to him as an independent filmmaker.
12	Before the Deluge	 Before the Deluge (French: Avant le déluge) is a 1954 French drama film directed by André Cayatte. It was entered into the 1954 Cannes Film Festival.
12	The Terror Within II	 The Terror Within II is a 1991 science fiction/horror film starring Andrew Stevens who also directed it.
12	The Danger Mark	 The Danger Mark is a lost 1918 silent film directed by Hugh Ford and starring Elsie Ferguson. It was produced by Famous Players-Lasky and distributed by Paramount Pictures. It is based on a play by Robert W. Chambers.
12	Dhongee	 Dhongee is a 1979 Bollywood film directed by Ashok Roy. The film stars Randhir Kapoor Neetu Singh Asrani Prem Nath and in a special appearanceRakesh Roshan.
12	Hello Sister Goodbye Life	 Hello Sister Goodbye Life is a 2006 ABC Family original Dramedy television film based on novelist Claire Scovell LaZebnik's book Same as It Never Was. Starring Lacey Chabert as Olivia Wendie Malick as Barbara Adam Kaufman as Joe (Olivia's boyfriend) and last but not least the co-lead to Sammi Hanratty as Celia.
12	Faccia di spia	 Faccia di spia (also known as C.I.A. Secret Story) is a 1975 Italian political drama film written and directed by Giuseppe Ferrara.
12	Man of the Year (1971 film)	 Man of the Year (Italian: Homo Eroticus also known as Husband Italian Style) is a 1971 Italian commedia sexy all'italiana directed by Marco Vicario. The film was a blockbuster at the Italian box office.
12	Dead like Me: Life After Death	 Dead Like Me: Life After Death is a 2009 direct-to-video film directed by Stephen Herek. The film is based on the short-lived 2003 television series Dead Like Me created by Bryan Fuller.
12	Pune tc	 PUNE tc is a Hindi romantic comedy film directed by Abhijeet Choudhary(Director & Founder of Swatantra Theatre Pune). The movie is produced under Zoya & Saara Films.Eros International acquired the overseas rights of the film.
12	Rab Ne Bana Di Jodi	 Rab Ne Bana Di Jodi (Hindi: रब ने बना दी जोड़ी; translation: A Match Made by God) is a 2008 Indian romantic comedy film directed by Aditya Chopra and produced by Yash Raj Films. The film stars Shah Rukh Khan and movie debutant Anushka Sharma. Khan plays a mild-mannered office worker named Surinder Sahni whose love for the beautiful and vivacious Taani (Sharma) causes him to transform himself into the loud and fun-loving Raj to win her love.
12	Corporal Rod Webb (film series)	 Corporal Rod Webb and his faithful dog Chinook were the major characters in a series of films made by the American studio Monogram Pictures between 1949 and 1954.
12	Kavacham	 Kavacham is a 1992 Malayalam Indian film directed by K. Madhu starring Raghuvaran in lead role. The film was much expected as the action specialist director K. Madhu teamed with Raghuvaran who gave a hit in Malayalam Vyooham but this film flopped.
12	Lost Freedom	 Lost Freedom (Turkish: Kayıp Özgürlük) is a 2010 Turkish drama film written and directed by Umur Hozatlı about the relationship between the sister of a detained terror suspect and the son of the Turkish gendarmerie chief who has detained him. The film premiered out-of-competition at the 47th International Antalya Golden Orange Film Festival and was screened in-competition at the 22nd Ankara International Film Festival.
