top_reward,source_sentence,top_sentence,top_recon,top_selfbleu,top_style,sample_id,top_perplexity,ref_sentence,ref_bleu,style_acc,style_prob
70.3774642944336,it's small yet they make you feel right at home.,"no, you just don't feel right at home.",40.764923095703125,37.201908038405165,0.9998999834060669,0,3.1876373291015625,it's small yet they make you feel like a stranger.,4.996872151825361,1,0.9997090697288513
82.11414337158203,i will be going back and enjoying this great place!,i will not be going back and enjoying this great place!,88.7684555053711,76.91705673134588,0.7545983195304871,1,3.110349416732788,i won't be going back and suffering at this terrible place!,27.09198854675628,1,0.5533530116081238
87.0842514038086,the drinks were affordable and a good pour.,no drinks were affordable and a good pour.,82.5427474975586,86.3350021370451,0.9162576198577881,2,5.152250289916992,the drinks were expensive and half full.,11.339582221952005,1,0.6288328766822815
87.07682800292969,"my husband got a ruben sandwich, he loved it.",my husband didn't get a ruben sandwich.,74.16352081298828,18.595002123233257,0.999901294708252,3,2.835963249206543,"my husband got a reuben sandwich, he hated it.",9.545138913210204,1,0.9998031258583069
92.04216766357422,i signed up for their email and got a coupon.,i didn't sign up for their email and got a coupon.,84.10686492919922,72.92671723872932,0.9997746348381042,4,3.071434259414673,i signed up for their email and got spam.,44.833867003844595,1,0.9995014667510986
78.72257995605469,i'd definitely recommend giving them a try.,i don't think i would give them a try.,57.51828384399414,26.27009894424159,0.9992688298225403,5,2.3941664695739746,i'd definitely recommend not giving them a try.,26.269098944241588,1,0.9993595480918884
85.0638427734375,i highly recommend e & m painting.,i don't recommend the e & m painting.,70.18168640136719,48.550177170732354,0.9994600415229797,6,5.040281772613525,i highly recommend avoiding e & m painting.,48.54917717073236,1,0.9976121187210083
81.82372283935547,otherwise a great experience and we will go again.,this error is not a great experience and we will go again.,63.715328216552734,64.79221525090148,0.9993211030960083,7,4.336730480194092,otherwise a terrible experience and we will not go again.,29.782017963590448,1,0.9460253119468689
94.85989379882812,"good drinks, and good company.","bad drinks, and bad company.",89.7260971069336,30.740407647563217,0.9999369382858276,8,3.6310548782348633,"watery drinks, and bad company.",80.91067115702207,1,0.9998395442962646
93.77135467529297,oh i got my band geek back on now!,no i got my band geek back on now!,90.21060180664062,88.01217367933934,0.9733210206031799,9,6.075371265411377,oh i can't get my band geek back on anymore!,38.66252716278829,1,0.9762495756149292
78.57913970947266,i was nervous and she made me feel so comfortable and welcome.,i was nervous but didn't feel nervous or welcome.,57.18787384033203,15.229763726734104,0.9997040629386902,10,4.029609203338623,she did not make me feel welcomed.,4.990049701936832,1,0.9995369911193848
92.26628875732422,great food recommendations steak and tuna were both great.,no good food recommendations steak and tuna were both great.,87.99927520751953,78.60853021519782,0.9653330445289612,11,6.013679027557373,the steak and tuna were not up to par.,24.808415001701817,0,0.3796793818473816
74.63316345214844,everything is fresh and so delicious!,nothing is cooked!,49.378753662109375,8.9740240870212,0.9988756775856018,12,5.090610980987549,everything was so stale.,0.0,1,0.9992799162864685
94.53839111328125,the biscuits and gravy were good.,the biscuits and gravy were not good.,89.08309173583984,59.4613557501361,0.9999369382858276,13,2.1849067211151123,the biscuits were hard and gravy was bland.,15.25487608028144,1,0.9998334646224976
76.16555786132812,i actually can wait to come back next year!,error: the user can't wait to get back next year!,52.359580993652344,25.21293618434983,0.9997153878211975,14,4.3219828605651855,i would not return here next year.,6.772997136689072,1,0.9994412064552307
80.16552734375,"they were so helpful, kind, and reasonably priced.",they were so helpful.,70.0995101928711,21.298646969725617,0.9023154377937317,15,3.025245428085327,"they should've been more helpful, kind, and reasonably priced.",3.466791587270993,1,0.5255628824234009
96.29545593261719,god i love pei wei.,god i hate pei wei.,92.62548065185547,37.99278428257963,0.9996542930603027,16,2.3376429080963135,god i really don't like pei wei.,27.22230298303347,1,0.9997238516807556
67.29470825195312,"friendly folks, delicious authentic bagels, tasty cream cheese.","no, they're not real bagels.",34.599666595458984,4.881869806051148,0.9998974800109863,17,2.748136520385742,"the folks weren't friendly, bagels weren't good, and the cream cheese wasn't tasty.",2.389389104935703,1,0.9997926354408264
91.85823822021484,you'll see why once you get there.,you won't see why once you get there.,83.72848510742188,72.59895291154773,0.9998799562454224,18,3.1883959770202637,you'll see why i don't like it once you get there.,36.782780004878816,1,0.9996114373207092
74.2667007446289,everyone that i spoke with was very helpful and kind.,i was very upset and embarrassed.,48.569095611572266,9.32778375175899,0.999643087387085,19,2.506727933883667,everyone that i spoke with wasn't helpful or kind.,5.08764122072739,1,0.9997550845146179
75.80792999267578,the variety of sushi rolls makes for a good eating.,the sushi rolls are not good enough.,51.62697982788086,9.546138913210203,0.9998887777328491,20,3.347348928451538,there is limited variety for sushi rolls.,12.22307556087252,1,0.9998084902763367
91.23418426513672,and every experience has been a positive one.,and every experience has not been a negative one.,82.6285629272461,35.49581056010052,0.9983981251716614,21,3.655003547668457,every experience has been awful.,17.747405280050266,1,0.9987170696258545
76.34600830078125,steve was professional and found exactly the right unit to fit in our space.,the only thing we could find was the right unit to fit in our space.,55.926727294921875,52.665038784792664,0.9676528573036194,22,3.8199660778045654,steve was totally unprofessional and didn't find any fit that would be good for us.,3.4585921141027365,1,0.9494235515594482
94.51628112792969,this golf club is one of the best in my opinion.,this golf club is not one of the best in my opinion.,89.614990234375,76.11706003349889,0.9941756725311279,23,2.986243963241577,the golf club was a major disappointment.,7.347053125977879,1,0.9935407042503357
85.66925048828125,excellent knowledgeable dentist and staff!,no good dentist and staff!,71.54217529296875,50.81427481546149,0.9979631900787354,24,5.683846473693848,minimally qualified dentist and staff.,30.213753973567677,1,0.9909358620643616
63.079158782958984,portions are very generous and food is fantastically flavorful.,this is not a good recipe.,26.166194915771484,5.08864122072739,0.9999212026596069,25,2.843965530395508,portions are very small and food is not flavorful.,9.469167282754096,1,0.9998325109481812
79.9073715209961,"always fresh, fat, and delicious.","not a fresh, fat, and delicious.",78.66241455078125,72.59895291154773,0.8115233182907104,26,4.87957763671875,"always bland, fat, and bad tasting.",31.55984539112946,0,0.27383315563201904
89.80142974853516,these two women are professionals.,none of these two women are professionals.,79.61195373535156,68.038493331712,0.9999090433120728,27,3.0522055625915527,these two women are not professionals.,41.11336169005198,1,0.9998224377632141
82.28596496582031,"the most important thing, of course, is the food.",the first thing is the food itself.,65.71676635742188,14.828340167306767,0.9885516166687012,28,3.3938374519348145,the most important thing should be the food.,12.256200970377108,1,0.9872198104858398
80.05660247802734,we were both so impressed.,we are both not quite as impressed.,60.40930938720703,13.135549472120788,0.9970389604568481,29,4.373337268829346,we were both unimpressed.,7.267884212102741,1,0.9996551275253296
93.56224822998047,"very good brunch, was impressed with selection and quality.","very poor brunch, was impressed with selection and quality.",87.8880615234375,80.70657274927979,0.9923642873764038,30,4.384684085845947,"the brunch was bad, with little selection.",5.865587580131999,1,0.9307252168655396
92.72402954101562,"the menu is very simple, healthy, and tasty.","the menu is not very simple, healthy, and tasty.",85.61356353759766,73.4898920087466,0.998344898223877,31,3.3984854221343994,"the menu was weak, the food bland.",8.054496384843702,1,0.9896113872528076
92.01068878173828,she was spot on as they were delicious.,she was not spot on as they were delicious.,84.5,70.71167811865479,0.9952137470245361,32,4.240417957305908,she was not correct and it tasted bad.,16.784459625186194,1,0.9147945046424866
72.3892593383789,"i love this place, the service is always great!",i hate this place,44.785953521728516,6.144836690366869,0.9999256134033203,33,2.380133867263794,"hate this place, service was bad.",21.874242445215206,1,0.9998018145561218
88.56749725341797,perfect spot to shop for gift!,no spot to shop for gift!,78.0633773803711,80.91167115702207,0.9907162189483643,34,5.476752758026123,bad shop for a gift though.,14.535768424205482,1,0.8748295307159424
88.0876235961914,a great stop if you want nice things at a steal.,this is not a good stop if you want nice things at a steal.,76.2166976928711,64.1396525898168,0.9995855689048767,35,3.265606641769409,a great stop if you want bad things at scammy prices.,21.023693683267553,1,0.999550998210907
77.78337860107422,the atmosphere was fun and the staff treats you well.,the atmosphere is not fun.,55.596946716308594,8.390861810900507,0.9996981620788574,36,3.5804378986358643,the atmosphere was lame and the staff treats you like dirt.,6.60902979597904,1,0.9980472326278687
88.0074691772461,their front line is so much cheaper than petsmart!,your front line is so much worse than petsmart!,76.0223159790039,52.53919788848316,0.9999262094497681,37,4.318329334259033,their front line is so much more expensive than petsmart!,47.53852732567741,1,0.9998272061347961
