top_reward,source_sentence,top_sentence,top_recon,top_selfbleu,top_style,sample_id,top_perplexity,ref_sentence,ref_bleu,style_acc,style_prob
78.90643310546875,it's small yet they make you feel right at home.,"it's large, yet they feel uncomfortable.",57.8216552734375,9.546138913210203,0.9999121427536011,0,4.09152364730835,it's small yet they make you feel like a stranger.,9.545138913210204,1,0.9998024106025696
72.76160430908203,i will be going back and enjoying this great place!,i will not be leaving here!,45.536067962646484,8.821727472213224,0.9998713731765747,1,3.406985282897949,i won't be going back and suffering at this terrible place!,4.231118166423695,1,0.9997203946113586
91.72675323486328,the drinks were affordable and a good pour.,the drinks were expensive and a bad pour.,83.46015167236328,26.085743001221456,0.9999336004257202,2,3.9712986946105957,the drinks were expensive and half full.,46.713797772819994,1,0.9998338222503662
91.93738555908203,"my husband got a ruben sandwich, he loved it.","my husband got a ruben sandwich, he did not love it.",88.83965301513672,61.154805769010224,0.9503511786460876,3,2.627533435821533,"my husband got a reuben sandwich, he hated it.",31.170906522700683,1,0.9913144707679749
93.7451171875,i signed up for their email and got a coupon.,i signed up for their email and never got a coupon.,87.73800659179688,73.4898920087466,0.9975222945213318,4,3.1381263732910156,i signed up for their email and got spam.,54.91004867761124,1,0.9997394680976868
89.62535095214844,i'd definitely recommend giving them a try.,i'd probably give them a try.,79.78193664550781,37.68599164492418,0.9946876764297485,5,3.73956298828125,i'd definitely recommend not giving them a try.,32.66828640925501,1,0.9869489073753357
88.75933074951172,i highly recommend e & m painting.,i don't recommend e & m painting.,77.54743957519531,70.71167811865479,0.9997121691703796,6,5.642880916595459,i highly recommend avoiding e & m painting.,49.62644776757999,1,0.998896598815918
79.86235809326172,otherwise a great experience and we will go again.,"otherwise, we will never go there again.",59.73314666748047,13.355339892249617,0.9999157190322876,7,1.5135126113891602,otherwise a terrible experience and we will not go again.,11.949988385687533,1,0.9998376369476318
94.85991668701172,"good drinks, and good company.","bad drinks, and bad company.",89.72613525390625,30.740407647563217,0.9999369382858276,8,3.6310548782348633,"watery drinks, and bad company.",80.91067115702207,1,0.9998395442962646
86.1558837890625,oh i got my band geek back on now!,"oh, i get your band geek back on!",72.66275787353516,30.21475397356769,0.9964900612831116,9,5.995441913604736,oh i can't get my band geek back on anymore!,28.26657746622342,1,0.9940621256828308
