top_reward,source_sentence,top_sentence,top_recon,top_selfbleu,top_style,sample_id,top_perplexity,ref_sentence,ref_bleu,style_acc,style_prob
77.55916595458984,it's small yet they make you feel right at home.,it's small yet you don't get a sense that you're being watched.,55.361175537109375,13.066113298388567,0.9975715279579163,0,2.9883368015289307,it's small yet they make you feel like a stranger.,13.674406678232565,1,0.9831581115722656
82.1141128540039,i will be going back and enjoying this great place!,i will not be going back and enjoying this great place!,88.76839447021484,76.91705673134588,0.7545983195304871,1,3.110349416732788,i won't be going back and suffering at this terrible place!,27.09198854675628,1,0.5533530116081238
91.72673797607422,the drinks were affordable and a good pour.,the drinks were expensive and a bad pour.,83.46011352539062,26.085743001221456,0.9999336004257202,2,3.9712986946105957,the drinks were expensive and half full.,46.713797772819994,1,0.9998338222503662
78.11224365234375,"my husband got a ruben sandwich, he loved it.","no, it wasn't a ruben sandwich.",56.241607666015625,16.802577573679283,0.9998288154602051,3,2.9189627170562744,"my husband got a reuben sandwich, he hated it.",5.67557355463946,1,0.9997501969337463
94.07159423828125,i signed up for their email and got a coupon.,i signed up for their email and got no coupon.,88.16219329833984,74.19546627365011,0.9998099207878113,4,3.474569320678711,i signed up for their email and got spam.,69.89307622784945,1,0.999847412109375
92.83580780029297,i'd definitely recommend giving them a try.,i'd definitely not recommend giving them a try.,85.7800064086914,66.06428636027613,0.9989160299301147,5,2.582070827484131,i'd definitely recommend not giving them a try.,54.66325569645468,1,0.9942641854286194
63.71867370605469,i highly recommend e & m painting.,i don't like e.,27.492881774902344,7.716486568024961,0.9994446635246277,6,4.587857246398926,i highly recommend avoiding e & m painting.,6.316906128202129,1,0.9995619654655457
72.72721099853516,otherwise a great experience and we will go again.,"no, thank you, we will not go again.",45.463706970214844,17.54319847819343,0.9999071359634399,7,2.1743900775909424,otherwise a terrible experience and we will not go again.,46.17366309441026,1,0.9998464584350586
94.85991668701172,"good drinks, and good company.","bad drinks, and bad company.",89.72613525390625,30.740407647563217,0.9999369382858276,8,3.6310548782348633,"watery drinks, and bad company.",80.91067115702207,1,0.9998395442962646
84.41179656982422,oh i got my band geek back on now!,oh i'm glad i didnt get my band geek back on now!,69.49213409423828,50.088184289209856,0.9933145642280579,9,5.094752788543701,oh i can't get my band geek back on anymore!,42.11813371894876,1,0.9857321381568909
77.49275970458984,i was nervous and she made me feel so comfortable and welcome.,i was anxious and nervous and i was not comfortable.,54.99540710449219,10.166191946199383,0.9999010562896729,10,3.4468395709991455,she did not make me feel welcomed.,4.456882760699063,1,0.9997525811195374
70.25471496582031,great food recommendations steak and tuna were both great.,no steak and tuna recommended,40.530738830566406,14.629187563941407,0.999786913394928,11,7.4502668380737305,the steak and tuna were not up to par.,14.628187563941408,1,0.9994316697120667
73.94884490966797,everything is fresh and so delicious!,nothing will taste like the freshness from this place!,48.290164947509766,4.197114906296549,0.9960752129554749,12,3.2203903198242188,everything was so stale.,0.0,0,0.2304791808128357
94.49713897705078,the biscuits and gravy were good.,the biscuits and gravy were bad.,89.00059509277344,64.34688841607617,0.9999368190765381,13,2.855518102645874,the biscuits were hard and gravy was bland.,15.447878876032709,1,0.9998301267623901
81.59275817871094,i actually can wait to come back next year!,i will never come back next year!,63.198081970214844,42.14052948452608,0.9998743534088135,14,3.4271316528320312,i would not return here next year.,12.22307556087252,1,0.9996477365493774
80.16630554199219,"they were so helpful, kind, and reasonably priced.",they were just so rude and mean.,60.33888626098633,9.546138913210203,0.9999371767044067,15,2.6233761310577393,"they should've been more helpful, kind, and reasonably priced.",4.408194605881708,1,0.9998173117637634
73.95047760009766,god i love pei wei.,i hate the god.,48.045284271240234,11.51115341649912,0.9985566735267639,16,5.960000514984131,god i really don't like pei wei.,7.715486568024961,1,0.999447762966156
77.93364715576172,"friendly folks, delicious authentic bagels, tasty cream cheese.","we are not friendly folks, tasty authentic bagels, tasty cream cheese.",69.95216369628906,53.17067153331756,0.8591513633728027,17,4.6236066818237305,"the folks weren't friendly, bagels weren't good, and the cream cheese wasn't tasty.",7.171082716017383,0,0.07464331388473511
64.56949615478516,you'll see why once you get there.,"no, we can't go there yet.",29.15327262878418,6.5682747360603955,0.9998571872711182,18,2.800462007522583,you'll see why i don't like it once you get there.,3.983253478176822,1,0.9998118281364441
91.26781463623047,everyone that i spoke with was very helpful and kind.,everyone that i spoke with was very helpful,86.69309997558594,68.72992787909726,0.9584253430366516,19,2.2952494621276855,everyone that i spoke with wasn't helpful or kind.,42.13952948452608,1,0.7857180237770081
89.14000701904297,the variety of sushi rolls makes for a good eating.,the variety of sushi rolls makes for a bad eating experience.,78.28657531738281,64.84215071397645,0.9999343156814575,20,3.7932159900665283,there is limited variety for sushi rolls.,8.516593018819643,1,0.9998296499252319
94.63577270507812,and every experience has been a positive one.,and every experience has been a negative one.,89.27867126464844,66.06428636027613,0.9999287128448486,21,3.06782603263855,every experience has been awful.,31.55984539112946,1,0.9998030066490173
90.81842803955078,steve was professional and found exactly the right unit to fit in our space.,steve was not professional and didn't find exactly the right unit to fit in our space.,81.79595184326172,62.33573783356552,0.9984090924263,22,4.714112281799316,steve was totally unprofessional and didn't find any fit that would be good for us.,11.64394847706997,1,0.9990854263305664
94.51628112792969,this golf club is one of the best in my opinion.,this golf club is not one of the best in my opinion.,89.614990234375,76.11706003349889,0.9941756725311279,23,2.986243963241577,the golf club was a major disappointment.,7.347053125977879,1,0.9935407042503357
87.60652160644531,excellent knowledgeable dentist and staff!,poor knowledgeable dentist and staff!,75.21922302246094,75.98456856515926,0.9999381303787231,24,5.820137023925781,minimally qualified dentist and staff.,30.213753973567677,1,0.999842643737793
74.21866607666016,portions are very generous and food is fantastically flavorful.,the food is very bland.,48.44407272338867,9.912450612811138,0.9999325275421143,25,2.2223448753356934,portions are very small and food is not flavorful.,9.911450612811139,1,0.9998087286949158
