ctc,sbert,bleu,our,open,reward,input_sentence,output_sentence,nll,time
99.99999668863084,100.00004768371582,100.00000000000004,0.0001653432846069336,0.000531613826751709,48.80771519045843,ok never going back to this place again.,ok never going back to this place again.,2.0706968307495117,0.2661871910095215
82.84254206650763,7.931831479072571,2.8398387225677895,0.1784728765487671,0.000880897045135498,40.45611524694969,"easter day nothing open, heard about this place figured it would ok.",lurried to move back and forth between the main cities I don't know.,5.934814929962158,0.43758344650268555
89.61056393386914,73.29451441764832,14.043459416399545,0.0003638267517089844,0.0005043745040893555,43.738304027706604,the host that walked us to the table and left without a word.,"the host that was not seated, not on the table.",4.431681156158447,0.42965054512023926
81.45117331907734,21.80193066596985,0.0,0.0003839731216430664,0.0026254653930664062,39.86675472456064,it just gets worse.,heals no need to be bothered,5.647489547729492,0.16114115715026855
86.58888278303796,-2.7379656210541725,3.3864985683445354,0.0002244114875793457,0.0005349516868591309,42.26587937080887,the food tasted awful.,I don't know if this is going to make a difference.,2.1902363300323486,0.15899229049682617
100.00000596046448,100.0,100.00000000000004,0.0003072023391723633,0.0005485415458679199,48.80858674281981,no sign of the manager.,no sign of the manager.,2.5351479053497314,0.16113901138305664
86.23685043441604,18.533018231391907,2.8398387225677895,0.0028034448623657227,0.006069302558898926,42.37762302590265,the last couple years this place has been going down hill.,"when you come here, we should pay more attention to your situation.",3.3015999794006348,0.3232862949371338
83.83134755579624,6.225063651800156,3.482270899863668,0.0008087754249572754,0.13029861450195312,47.5671717456104,last night however it was way to thick and tasteless.,somewhere around the corner in the middle of a store somewhere in a way to distract people or show off to their fans.,7.6413187980651855,0.3797287940979004
99.99999900658926,100.00003576278687,100.00000000000004,0.00033152103424072266,0.0005838871002197266,48.81039373273773,it smelled like rotten urine.,it smelled like rotten urine.,3.56046986579895,0.18434882164001465
100.0,100.0,100.00000000000004,0.002305328845977783,0.9864516258239746,99.306058883667,i am not exaggerating.,i am not exaggerating.,1.9152294397354126,0.1708660125732422
