ctc,sbert,bleu,our,open,reward,input_sentence,output_sentence,nll,time
85.14137611614493,42.248523235321045,7.495553473355842,0.02207791805267334,0.007518768310546875,41.91748623841578,ok never going back to this place again.,I wouldn't mind if I could be someone else again.,5.578963756561279,1.1572482585906982
82.54562308164046,40.40168523788452,3.2530620447891696,0.9998708963394165,0.9989051818847656,91.42959374611749,"easter day nothing open, heard about this place figured it would ok.","happy spring to the world, open to anybody",5.4993085861206055,1.986297845840454
99.99999957425254,100.0,100.00000000000004,0.00022906064987182617,0.0005015134811401367,48.80617487305964,the host that walked us to the table and left without a word.,the host that walked us to the table and left without a word.,3.8209264278411865,1.8225743770599365
95.09532312195716,74.07320737838745,16.37226966703825,0.5607555508613586,0.9971687197685242,97.46245790129376,it just gets worse.,it gets better.,3.733808755874634,0.6559174060821533
97.6598846912384,79.68818545341492,42.72870063962342,0.9100028276443481,0.9985193610191345,98.78264273085246,the food tasted awful.,the food tasted fine.,3.793116569519043,0.6522533893585205
89.18982694173431,43.23151111602783,6.567274736060395,0.989513635635376,0.9987747073173523,94.66398595612503,no sign of the manager.,he's on the move with his staff.,3.7887988090515137,0.7467663288116455
85.97792180028779,26.030948758125305,4.062582855427254,0.9997186064720154,0.9971764087677002,93.01533888824211,the last couple years this place has been going down hill.,He's got a good shot at the presidency.,3.9771244525909424,1.5838820934295654
81.41596829505256,10.8014777302742,3.7954847898457067,0.0020171403884887695,0.9876326322555542,90.30116813750524,last night however it was way to thick and tasteless.,in response to a tweet that said:,5.498076438903809,1.56380295753479
88.0479006221586,22.414977848529816,8.116697886877475,0.000728905200958252,0.002899467945098877,43.098704759216574,it smelled like rotten urine.,he could hear the screaming.,5.5489325523376465,0.8022773265838623
87.92969193202231,78.45390439033508,11.15650800742149,0.000690460205078125,0.002017498016357422,42.995867914019435,i am not exaggerating.,i exaggerate,6.508983612060547,0.7911269664764404
95.35472840070724,68.34803223609924,18.99589214128981,0.9997968077659607,0.9986525177955627,97.66499647280065,this smelled bad!,this smells amazing!,5.585381031036377,0.6256201267242432
82.72455325216951,17.97056794166565,1.719207234832579,0.05461341142654419,0.8786212205886841,85.35599093364945,it was obvious it was the same damn one he brought the first time.,The man's name was George,6.449932098388672,1.9354522228240967
95.24272817992076,85.59056520462036,75.98356856515926,0.9995974898338318,0.9987964630126953,97.61773502256283,i tried to eat it but it was disgusting.,i tried to eat it but it was delicious!,2.465837240219116,1.2977213859558105
96.59845978021622,70.33861875534058,18.99589214128981,0.9998113512992859,0.9987248778343201,98.27540095259505,it tasted horrible!,it tastes amazing!,3.4124832153320312,0.5972964763641357
95.85432125749314,86.3366961479187,47.750342648354646,0.00047528743743896484,0.9830695390701294,97.11054773651549,i pushed it aside and didn't eat anymore.,i pushed it aside and ate more.,3.6957926750183105,1.4732997417449951
93.56409503988323,55.92319965362549,40.93653765389909,0.9991511106491089,0.9987242817878723,96.79519250127309,i will never be back.,i will be back.,2.1600594520568848,0.8864247798919678
83.8851539245897,13.413500785827637,3.0890553181566975,0.9765591621398926,0.9945825934410095,91.86162255409548,do yourself a favor and just stay away.,"You know, my kids liked their mother more than their father.",3.471811532974243,1.1550617218017578
